HomeTeam,AwayTeam,FTR
Liverpool,Norwich,H
West Ham,Man City,A
Bournemouth,Sheffield United,D
Burnley,Southampton,H
Crystal Palace,Everton,D
Watford,Brighton,A
Tottenham,Aston Villa,H
Leicester,Wolves,D
Newcastle,Arsenal,A
Man United,Chelsea,H
Arsenal,Burnley,H
Aston Villa,Bournemouth,A
Brighton,West Ham,D
Everton,Watford,H
Norwich,Newcastle,H
Southampton,Liverpool,A
Man City,Tottenham,D
Sheffield United,Crystal Palace,H
Chelsea,Leicester,D
Wolves,Man United,D
Aston Villa,Everton,H
Norwich,Chelsea,A
Brighton,Southampton,A
Man United,Crystal Palace,A
Sheffield United,Leicester,A
Watford,West Ham,A
Liverpool,Arsenal,H
Bournemouth,Man City,A
Tottenham,Newcastle,A
Wolves,Burnley,D
Southampton,Man United,D
Chelsea,Sheffield United,D
Crystal Palace,Aston Villa,H
Leicester,Bournemouth,H
Man City,Brighton,H
Newcastle,Watford,D
West Ham,Norwich,H
Burnley,Liverpool,A
Everton,Wolves,H
Arsenal,Tottenham,D
Liverpool,Newcastle,H
Brighton,Burnley,D
Man United,Leicester,H
Sheffield United,Southampton,A
Tottenham,Crystal Palace,H
Wolves,Chelsea,A
Norwich,Man City,H
Bournemouth,Everton,H
Watford,Arsenal,D
Aston Villa,West Ham,D
Southampton,Bournemouth,A
Leicester,Tottenham,H
Burnley,Norwich,H
Everton,Sheffield United,A
Man City,Watford,H
Newcastle,Brighton,D
Crystal Palace,Wolves,D
West Ham,Man United,H
Arsenal,Aston Villa,H
Chelsea,Liverpool,A
Sheffield United,Liverpool,A
Aston Villa,Burnley,D
Bournemouth,West Ham,D
Chelsea,Brighton,H
Crystal Palace,Norwich,H
Tottenham,Southampton,H
Wolves,Watford,H
Everton,Man City,A
Leicester,Newcastle,H
Man United,Arsenal,D
Brighton,Tottenham,H
Burnley,Everton,H
Liverpool,Leicester,H
Norwich,Aston Villa,A
Watford,Sheffield United,D
West Ham,Crystal Palace,A
